state,positive_cases,total_tests,percentage_positive
IL,970590.0,13374665.0,7.256929425895901
IN,517773.0,5730043.0,9.036110200220138
KS,227745.0,1012506.0,22.493200040296056
KY,265262.0,3148606.0,8.424744156620422
LA,315275.0,4214182.0,7.481285810627068
MA,375178.0,10944699.0,3.42794260490855
MD,280219.0,5761534.0,4.86361791842242
ME,24201.0,1111413.0,2.177498373691868
MI,528621.0,8113075.0,6.515667610616196
MN,415302.0,5351379.0,7.760653842682419
MO,397299.0,3665980.0,10.837456832825056
MP,122.0,17551.0,0.6951170873454504
MS,218386.0,1346044.0,16.224283901566366
MT,81555.0,791589.0,10.302694959126518
NC,539545.0,6944103.0,7.769830027002768
ND,92495.0,1249797.0,7.4008018902269725
NE,166798.0,1755820.0,9.49972092811336
NH,44028.0,1032929.0,4.262442045871497
NJ,532903.0,7842756.0,6.794843547344836
NM,144142.0,1983507.0,7.267027542630301
NV,227046.0,2095778.0,10.833494769007022
NY,990711.0,25504313.0,3.8844841654821285
OH,700380.0,7752314.0,9.034463774300164
OK,290936.0,2685254.0,10.834580266894678
OR,115339.0,2652670.0,4.34803424474209
PA,648039.0,3923244.0,16.517937706652962
PR,77054.0,383026.0,20.117172202409236
RI,90404.0,2015456.0,4.485535779496055
SC,307507.0,3173021.0,9.691300498799094
SD,99164.0,372640.0,26.611206526406185
TN,586802.0,5644058.0,10.39681023830726
TX,1772483.0,13848790.0,12.798829356210902
UT,276612.0,2245303.0,12.319584483697746
VA,354766.0,4291320.0,8.267060018828705
VI,2036.0,36212.0,5.622445598144261
VT,7412.0,697705.0,1.0623401007589168
WA,246752.0,3836820.0,6.4311591369936565
WI,522523.0,5380828.0,9.71082889101826
WV,87820.0,1535487.0,5.719358092904726
WY,44409.0,501784.0,8.850222406453772
AK,45461.0,1275750.0,3.5634724671761706
AL,361226.0,1874000.0,19.27566702241195
AR,225138.0,2051488.0,10.974375672682463
AS,0.0,2140.0,0.0
AZ,520207.0,5059770.0,10.281238079991779
CA,2245379.0,32855482.0,6.8341076231966404
CO,334097.0,4406667.0,7.581625750255238
CT,185708.0,4320693.0,4.298106808329127
DC,28983.0,897439.0,3.2295231207914963
DE,57456.0,978204.0,5.873621453193812
FL,1300528.0,15703599.0,8.281719368916642
GA,566676.0,5349390.0,10.59328259857666
GU,7317.0,96192.0,7.606661676646706
HI,21832.0,812338.0,2.687551240985895
IA,239173.0,1171219.0,20.420860658852018
ID,139864.0,543268.0,25.74493620091741
IL,963389.0,13277443.0,7.255832316508533
IN,511485.0,5681710.0,9.00230740393297
KS,222433.0,1001232.0,22.2159299742717
KY,265262.0,3148606.0,8.424744156620422
LA,315275.0,4214182.0,7.481285810627068
MA,375178.0,10944699.0,3.42794260490855
MD,276662.0,5708030.0,4.846891134069022
ME,24201.0,1111413.0,2.177498373691868
MI,528621.0,8113075.0,6.515667610616196
MN,415302.0,5351379.0,7.760653842682419
MO,392570.0,3638238.0,10.790113236132436
MP,122.0,17551.0,0.6951170873454504
MS,215811.0,1343469.0,16.063712672194146
MT,81555.0,791589.0,10.302694959126518
NC,539545.0,6944103.0,7.769830027002768
ND,92495.0,1244308.0,7.4334489531530785
NE,165297.0,1743719.0,9.479566375086812
NH,44028.0,1032929.0,4.262442045871497
NJ,526985.0,7785400.0,6.7688879184113855
NM,142864.0,1970212.0,7.251199363317247
NV,224731.0,2081954.0,10.794234646875003
